"Date","Apple","Samsung","LG","Motorola","RIM","HTC","Unknown","Nokia","Google","ZTE","Huawei","Alcatel","Sony","Kyocera","Xiaomi","Lenovo","Nintendo","Pantech","OnePlus","T-Mobile","Asus","Oppo","Palm","Coolpad","Micromax","Casio","HP","Mobicel","RCA","Blu","Sharp","Acer","General Mobile","BBK","Sumsung","Other"
2010-04,51.65,2.47,0.43,0.33,36.3,0.07,0,1.09,0.31,0,0,0,2.45,0,0,0,0.56,0,0,2.62,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2010-05,51.14,3.74,0.07,0.04,36.78,0,0,1.17,0.3,0,0,0,2.23,0,0,0,0.54,0,0,2.2,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2010-06,48.89,3.84,0.06,0.03,38.77,0,0,1.43,0.31,0,0,0,2.37,0,0,0,0.59,0,0,1.88,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2010-07,46.7,4.22,0.3,0.29,40.3,0.05,0,1.77,0.31,0,0,0,2.07,0,0,0,0.57,0,0,1.56,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0.02
2010-08,45.15,4.65,0.31,0.31,42.52,0.05,0,1.65,0.27,0,0,0,1.64,0,0,0,0.56,0,0,1.23,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-09,48.19,6.45,0.27,0.31,38.06,0.05,0,1.73,0.27,0,0,0,1.46,0,0,0,0.42,0,0,1.17,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-10,45.57,6.59,0.2,0.26,41.48,0.03,0,1.71,0.22,0,0,0,1.26,0,0,0,0.35,0,0,0.93,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-11,41.48,6.55,0.17,3.42,43.23,0.02,0,1.51,0.18,0,0,0,1.19,0,0,0,0.34,0,0,0.72,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-12,42.79,6.73,0.15,4.29,41.03,0.02,0,1.5,0.16,0,0,0,1.29,0,0,0,0.38,0,0,0.59,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01,45.76,6.63,0.16,3.82,36.27,0.11,0,3.87,0.14,0,0,0,1.41,0,0,0,0.41,0,0,0.47,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02,49.61,7.17,0.18,3.73,31.55,0.24,0,4.27,0.15,0,0,0,1.44,0,0,0,0.38,0,0,0.4,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03,54.33,7.54,0.18,3.65,28.78,0.31,0,2.11,0.16,0,0,0,1.31,0,0,0,0.43,0,0,0.35,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0
