"Date","Apple","Samsung","LG","Motorola","RIM","HTC","Unknown","Nokia","Google","ZTE","Huawei","Alcatel","Sony","Kyocera","Xiaomi","Lenovo","Nintendo","Pantech","OnePlus","T-Mobile","Asus","Oppo","Palm","Coolpad","Micromax","Casio","HP","Mobicel","RCA","Blu","Sharp","Acer","General Mobile","BBK","Sumsung","Other"
2011-04,50.78,7.17,0.17,2.98,32.18,0.34,0,3.51,0.13,0,0,0,1.32,0,0,0,0.41,0,0,0.32,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05,47.45,7.74,0.15,2.58,32.65,0.32,0,5.67,0.11,0,0,0,1.26,0,0,0,0.34,0,0,1.15,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06,51.59,9.27,0.16,2.47,23.78,0.35,0,8.58,0.12,0,0,0,1.54,0,0,0,0.39,0,0,1.19,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07,55.95,9.26,0.15,2.2,23,0.41,0,5.55,0.19,0,0,0,1.25,0,0,0,0.41,0,0,1.12,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08,57.72,10.53,0.16,2.18,20.97,0.49,0,4.38,0.45,0,0,0,1.25,0,0,0,0.44,0,0,0.93,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09,60.18,10.68,0.16,1.94,18.77,0.59,0,4.79,0.54,0,0,0,1.19,0,0,0,0.39,0,0,0.28,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10,57.33,10.68,2.47,1.63,14.36,5.73,0,4.57,0.57,0,0,0,1.24,0,0,0,0.4,0,0,0.63,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11,58.69,10.68,2.88,1.84,10.43,6.36,0,6.39,0.53,0,0,0,1.16,0,0,0,0.35,0,0,0.35,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12,58.78,11.56,3.08,1.85,9.04,6.32,0,6.48,0.54,0,0,0,1.22,0,0,0,0.55,0,0,0.3,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01,62.71,12.27,3.31,1.62,8.08,6.27,0,2.9,0.54,0,0,0,1.12,0,0,0,0.7,0,0,0.26,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02,64.6,13,3.24,1.42,7.14,6.13,0,2.04,0.51,0,0,0,0.95,0,0,0,0.54,0,0,0.23,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03,52.22,10.25,2.55,0.98,5.33,4.58,20.19,1.65,0.42,0,0.19,0,0.83,0,0,0,0.54,0,0,0.15,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04,46.85,10.25,2.77,3.14,4.11,6.63,20.67,1.92,0.64,0.18,1.08,0,0.72,0,0,0,0.55,0.17,0,0.11,0,0,0.1,0,0,0.07,0,0,0,0,0,0,0,0,0,0.04
2012-05,48.04,12.44,3.89,7.4,3.97,11.64,4.97,2.52,0.71,0.73,1.21,0.01,0.72,0.14,0,0,0.58,0.53,0,0.1,0,0,0.08,0,0,0.18,0,0,0,0,0,0,0,0,0,0.11
2012-06,50.21,12.44,3.8,7.66,3.65,11.31,2.92,2.51,0.78,0.88,1.3,0.01,0.72,0.19,0,0,0.58,0.56,0,0.09,0,0,0.07,0,0,0.18,0,0,0,0,0,0,0,0,0,0.12
2012-07,50.45,12.65,3.97,7.6,3.24,11.07,3.28,1.94,0.81,0.93,1.38,0.02,0.74,0.17,0,0,0.69,0.6,0,0.08,0,0,0.06,0,0.01,0.19,0,0,0,0,0,0,0,0,0,0.11
2012-08,50.4,12.92,3.99,7.54,2.85,10.79,3.44,1.99,0.86,0.97,1.41,0.02,0.71,0.15,0,0,0.71,0.65,0,0.07,0,0,0.05,0,0.01,0.2,0,0,0,0,0,0.17,0,0,0,0.1
2012-09,50.46,13.31,4.05,7.57,2.65,10.43,3.58,1.96,0.89,1.01,1.45,0.02,0.59,0.19,0,0,0.6,0.67,0,0.06,0,0,0.05,0,0.02,0.19,0,0,0,0,0,0.17,0,0,0,0.09
2012-10,50.75,13.6,3.94,7.08,2.4,9.62,3.91,2.94,0.84,0.98,1.42,0.02,0.55,0.22,0,0,0.53,0.63,0,0.05,0,0,0.04,0,0.03,0.19,0,0,0,0,0,0.17,0,0,0,0.08
2012-11,50.66,14.08,3.89,6.61,2.24,8.77,4.44,3.53,0.79,0.97,1.52,0.02,0.53,0.28,0,0,0.54,0.6,0,0.04,0,0,0.03,0,0.04,0.18,0,0,0,0,0,0.16,0,0,0,0.08
2012-12,50.49,14.86,3.76,6.26,1.91,8.07,5.23,3.76,0.78,0.93,1.49,0.02,0.5,0.36,0,0,0.5,0.56,0,0.04,0,0,0.03,0,0.05,0.17,0,0,0,0,0,0.17,0,0,0,0.07
2013-01,52.7,14.52,3.65,5.82,1.72,7.36,5.77,3.02,0.75,0.88,1.44,0.02,0.44,0.4,0,0,0.49,0.52,0,0.03,0,0,0.02,0,0.04,0.17,0,0,0,0,0,0.19,0,0,0,0.06
2013-02,53.48,14.74,3.83,5.46,1.62,6.77,5.79,3.01,0.71,0.9,1.41,0.03,0.42,0.41,0,0,0.47,0.49,0,0.03,0,0,0.02,0,0.04,0.15,0,0,0,0,0,0.18,0,0,0,0.05
2013-03,52.5,17.44,4.05,5.71,1.5,6.45,4.03,2.78,0.87,0.99,1.4,0.03,0.43,0.44,0,0,0.54,0.47,0,0.02,0,0,0.02,0,0.04,0.15,0,0,0,0,0,0.08,0,0,0,0.05
2013-04,53.51,17.78,4.08,5.54,1.44,6.15,3.95,2.07,0.92,0.99,1.34,0.03,0.41,0.45,0,0,0.55,0.46,0,0.02,0,0,0.02,0,0.04,0.14,0,0,0,0,0,0.05,0,0,0,0.04
2013-05,54.23,18.17,4.03,5.26,1.4,5.83,3.91,1.89,0.94,1.01,1.32,0.03,0.4,0.46,0,0,0.39,0.44,0,0.02,0,0,0.01,0,0.03,0.13,0,0,0,0,0,0.05,0,0,0,0.04
2013-06,54.84,18.3,4.01,4.94,1.39,5.46,3.89,1.8,0.95,1.01,1.35,0.03,0.41,0.5,0,0,0.43,0.42,0,0.02,0,0,0.01,0,0.04,0.12,0,0,0,0,0,0.04,0,0,0,0.03
2013-07,53.85,18.24,4.13,4.64,3.53,5.13,3.67,1.51,0.94,1.02,1.32,0.03,0.35,0.49,0,0,0.4,0.45,0,0.02,0,0,0.01,0,0.04,0.12,0,0,0,0,0,0.04,0,0,0,0.07
2013-08,52.16,18.99,4.23,4.31,5.11,4.84,3.75,1.47,0.94,1.03,1.25,0.03,0.35,0.5,0,0.01,0.3,0.43,0,0.02,0,0,0.01,0,0.05,0.11,0,0,0,0,0,0.04,0,0,0,0.07
2013-09,51.89,19.61,4.06,4.06,5.71,4.64,3.76,1.66,0.84,0.92,1.16,0.03,0.28,0.46,0,0.01,0.23,0.4,0,0.01,0,0,0.01,0,0.07,0.09,0,0,0,0,0,0.04,0,0,0,0.05
2013-10,51.48,19.86,4.12,3.95,5.85,4.41,3.98,1.81,0.8,0.9,1.19,0.04,0.24,0.47,0,0.01,0.21,0.39,0,0.01,0,0,0.01,0,0.08,0.09,0,0,0,0,0,0.04,0,0,0,0.04
2013-11,51.58,20.48,4.34,3.86,5.38,4.28,3.82,1.84,0.74,0.88,1.16,0.05,0.21,0.48,0,0.01,0.2,0.36,0,0.01,0,0,0.01,0,0.09,0.08,0.02,0,0,0,0,0.04,0,0,0,0.06
2013-12,51.7,20.76,4.35,3.56,5.07,3.99,4.19,2.06,0.71,0.88,1.09,0.08,0.18,0.48,0,0.02,0.15,0.33,0,0.01,0,0,0.01,0,0.13,0.08,0.06,0,0,0,0,0.04,0,0,0,0.06
2014-01,54.48,20.4,4.15,3.27,3.86,3.55,4.24,1.94,0.69,0.83,1,0.11,0.19,0.47,0,0.02,0.13,0.29,0,0.01,0,0,0.01,0,0.12,0.07,0.09,0,0,0,0,0.04,0,0,0,0.05
2014-02,52.83,22.97,4.46,3.6,3.01,3.33,3.08,2.1,0.83,0.82,0.99,0.33,0.38,0.46,0.04,0.04,0.11,0.26,0,0.01,0,0,0.01,0.01,0.1,0.06,0.08,0,0,0,0,0.04,0.01,0,0,0.05
2014-03,52.99,23.6,4.54,3.82,1.94,3.13,2.72,2.6,0.86,0.84,0.92,0.45,0.45,0.42,0,0.03,0.1,0.23,0,0.01,0,0,0,0,0.1,0.06,0.07,0,0,0,0,0.03,0.02,0,0,0.04
2014-04,52.46,24.04,4.6,3.76,1.67,3.08,2.65,2.73,0.93,1,0.9,0.53,0.49,0.42,0.01,0.03,0.1,0.21,0,0.01,0,0,0,0,0.12,0.05,0.07,0,0,0,0,0.03,0.05,0,0,0.04
2014-05,51.12,25.33,4.71,3.72,1.6,3.06,2.6,2.82,0.93,1.05,0.88,0.55,0.51,0.41,0.01,0.04,0.09,0.19,0,0,0,0,0,0,0.13,0.05,0.07,0,0,0,0,0.03,0.05,0,0,0.04
2014-06,51.31,25.65,4.72,3.74,1.59,3.02,2.5,2.63,0.93,1,0.82,0.54,0.48,0.39,0,0.04,0.09,0.17,0,0.01,0,0,0,0,0.14,0.04,0.08,0,0,0,0,0.03,0.03,0,0,0.04
2014-07,51.47,25.81,4.78,3.68,1.54,2.98,2.47,2.62,0.96,0.87,0.73,0.52,0.5,0.37,0.01,0.05,0.09,0.15,0,0.01,0,0,0,0,0.15,0.04,0.08,0,0,0,0,0.03,0.03,0,0,0.04
2014-08,51.37,26.44,5.03,3.65,1.28,2.77,2.44,2.48,0.88,0.83,0.69,0.52,0.46,0.48,0.01,0.06,0.07,0.14,0,0.01,0,0,0,0,0.17,0.03,0.07,0,0,0,0,0.03,0.03,0,0,0.04
2014-09,53.3,25.97,4.97,3.59,1.16,2.61,2.18,2.14,0.82,0.75,0.58,0.47,0.4,0.45,0.01,0.06,0.05,0.13,0.01,0,0,0,0,0,0.15,0.03,0.06,0,0,0,0,0.02,0.02,0,0,0.04
2014-10,55.22,25.44,5.18,3.34,0.95,2.47,1.86,1.68,0.76,0.82,0.51,0.44,0.42,0.41,0.01,0.06,0.05,0.1,0.02,0,0,0,0,0,0.09,0.02,0.05,0,0,0,0,0.02,0.03,0,0,0.03
2014-11,51,27.75,5.98,3.51,1.06,2.63,2.17,1.54,0.78,0.97,0.58,0.47,0.44,0.52,0.02,0.08,0.08,0.11,0.04,0,0.01,0.01,0,0,0.05,0.02,0.06,0,0,0,0.01,0.02,0.04,0,0,0.03
2014-12,49.54,28.64,6.28,3.78,0.9,2.77,2.13,1.57,0.71,0.94,0.53,0.6,0.4,0.56,0.02,0.08,0.07,0.1,0.05,0,0.02,0.01,0,0.01,0.05,0.02,0.06,0,0.03,0,0.06,0.02,0.02,0,0,0.03
2015-01,51.38,26.67,6.34,3.57,0.82,2.75,1.9,1.71,0.74,0.94,0.51,0.81,0.44,0.57,0.02,0.09,0.07,0.09,0.07,0,0.03,0.01,0,0.01,0.06,0.02,0.07,0,0.16,0,0.08,0.02,0.02,0,0,0.03
2015-02,52.18,25.86,6.44,3.52,0.75,2.78,1.79,1.68,0.73,0.98,0.47,0.81,0.46,0.57,0.02,0.12,0.07,0.08,0.08,0.01,0.04,0.01,0,0.01,0.06,0.02,0.07,0,0.23,0,0.1,0.02,0.02,0,0,0.03
2015-03,52.59,25.64,6.41,3.48,0.72,2.82,1.85,1.58,0.76,1.02,0.42,0.77,0.46,0.56,0.03,0.1,0.07,0.07,0.09,0,0.04,0.01,0,0.02,0.07,0.01,0.06,0,0.18,0,0.1,0.02,0.02,0,0,0.03
2015-04,49.5,27.18,6.79,3.75,0.58,2.92,2.08,1.78,0.92,1.12,0.51,0.84,0.52,0.6,0.04,0.11,0.05,0.07,0.11,0,0.05,0.01,0,0.02,0.07,0.01,0.06,0,0.11,0,0.11,0.02,0.03,0,0,0.04
2015-05,48.64,27.5,6.84,3.75,0.47,2.95,2.16,1.74,1.03,1.2,0.53,0.95,0.58,0.62,0.11,0.14,0.04,0.06,0.12,0.01,0.05,0.05,0,0.03,0.07,0.01,0.06,0,0.11,0,0.11,0.02,0.02,0,0,0.04
2015-06,49.38,26.69,6.73,3.62,0.33,2.77,2.27,1.57,0.98,1.17,0.72,0.96,0.58,0.61,0.6,0.14,0.04,0.05,0.12,0.01,0.05,0.15,0,0.03,0.07,0.01,0.06,0,0.11,0,0.11,0.02,0.02,0,0,0.03
2015-07,50.68,25.91,6.44,3.57,0.38,2.62,2.48,1.51,1.13,1.13,0.73,0.91,0.56,0.57,0.41,0.15,0.04,0.05,0.11,0,0.04,0.16,0,0.03,0.07,0.01,0.06,0,0.1,0,0.11,0.01,0.02,0,0,0.03
2015-08,51.17,26.14,6.48,3.58,0.34,2.47,2.52,1.39,0.81,1.11,0.71,0.82,0.5,0.55,0.43,0.16,0.03,0.05,0.1,0,0.06,0.13,0,0.03,0.08,0.01,0.05,0,0.08,0,0.1,0.01,0.02,0,0,0.04
2015-09,50.37,27.34,6.85,3.68,0.3,2.5,2.48,1.38,0.77,1.15,0.49,0.79,0.45,0.55,0.05,0.15,0.03,0.04,0.11,0,0.07,0.02,0,0.03,0.08,0.01,0.05,0,0.07,0,0.1,0.01,0.02,0,0,0.05
2015-10,50.09,27.38,6.95,3.67,0.34,2.5,2.51,1.4,0.89,1.12,0.51,0.73,0.45,0.51,0.06,0.17,0.04,0.04,0.11,0,0.08,0.02,0,0.03,0.09,0.01,0.05,0,0.07,0,0.09,0.01,0.03,0,0,0.05
2015-11,51.64,26.83,6.76,3.57,0.28,2.42,2.62,1.23,0.81,1.02,0.45,0.63,0.39,0.46,0.05,0.17,0.03,0.04,0.1,0,0.08,0.02,0,0.02,0.08,0.01,0.05,0,0.07,0,0.08,0.01,0.02,0,0,0.04
2015-12,51.86,26.25,6.62,3.36,0.37,2.42,3.2,1.23,1.02,0.92,0.44,0.56,0.43,0.42,0.05,0.19,0.02,0.03,0.1,0,0.12,0.01,0,0.02,0.09,0.01,0.05,0,0.06,0,0.08,0.01,0.01,0,0,0.03
2016-01,52.9,26.14,6.42,3.27,0.24,2.25,3.48,0.98,0.86,0.83,0.47,0.49,0.34,0.37,0.09,0.19,0.02,0.03,0.09,0,0.13,0.05,0,0.02,0.1,0.01,0.05,0,0.06,0,0.07,0.01,0.01,0,0,0.03
2016-02,53.37,26.47,6.4,3.28,0.24,2.16,3.05,0.89,0.79,0.76,0.52,0.45,0.33,0.34,0.12,0.2,0.02,0.03,0.08,0,0.11,0.07,0,0.02,0.09,0.01,0.05,0,0.05,0,0.06,0.01,0.01,0,0,0.03
2016-03,52.16,27.54,7.01,3.43,0.21,2.02,2.19,0.75,0.81,0.94,0.66,0.58,0.33,0.31,0.2,0.21,0.02,0.03,0.08,0,0.11,0.1,0,0.02,0.08,0.01,0.05,0,0.05,0,0.05,0.01,0.02,0,0,0.04
2016-04,52.42,27.39,7,3.34,0.22,1.95,2.46,0.69,0.89,0.9,0.62,0.57,0.34,0.29,0.11,0.23,0.02,0.02,0.08,0,0.1,0.03,0,0.02,0.08,0.01,0.05,0,0.05,0,0.05,0.01,0.02,0,0,0.04
2016-05,52.78,26.95,6.93,3.24,0.24,1.91,2.76,0.67,0.9,0.86,0.66,0.57,0.34,0.26,0.08,0.26,0.02,0.02,0.08,0,0.11,0.03,0,0.02,0.08,0.01,0.05,0,0.04,0,0.04,0.01,0.02,0,0,0.04
2016-06,53.67,26.68,6.72,3.15,0.2,1.83,2.73,0.59,1.15,0.81,0.64,0.53,0.31,0.25,0.06,0.21,0.02,0.02,0.08,0,0.1,0.02,0,0.02,0.04,0.01,0.04,0,0.04,0,0.04,0.01,0.02,0,0,0.03
2016-07,52.41,26.25,6.5,3.09,0.17,1.72,2.81,0.51,3.41,0.76,0.64,0.51,0.29,0.23,0.05,0.2,0.02,0.02,0.08,0,0.09,0.02,0,0.02,0.03,0.01,0.04,0,0.04,0,0.04,0.01,0.01,0,0,0.03
2016-08,54.47,26.51,6.38,3.1,0.17,1.65,3.05,0.47,1.04,0.73,0.66,0.49,0.3,0.21,0.06,0.22,0.02,0.02,0.08,0,0.1,0.02,0,0.02,0.05,0.01,0.04,0,0.04,0,0.03,0.01,0.01,0,0,0.04
2016-09,51.72,26.58,6.04,3.26,0.17,1.62,5.06,0.58,0.98,0.65,0.78,0.47,0.39,0.19,0.16,0.51,0.02,0.02,0.1,0,0.15,0.03,0,0.03,0.28,0.01,0.04,0,0.03,0,0.03,0,0.02,0.01,0,0.1
2016-10,54.77,26.15,6.17,3.1,0.16,1.54,3.16,0.57,1.02,0.84,0.65,0.46,0.28,0.18,0.06,0.31,0.02,0.02,0.07,0,0.1,0.02,0,0.05,0.06,0,0.04,0,0.03,0,0.05,0,0.02,0,0,0.08
2016-11,53.83,27.53,6.67,3.1,0.14,1.46,1.72,0.44,1,1.24,0.61,0.56,0.27,0.3,0.08,0.26,0.03,0.02,0.11,0,0.09,0.02,0,0.17,0.05,0,0.03,0,0.04,0.02,0.04,0.01,0.02,0.02,0,0.15
2016-12,53.7,27.33,7.13,3.01,0.13,1.39,1.15,0.35,1.06,1.52,0.6,0.8,0.27,0.4,0.06,0.23,0.02,0.01,0.13,0,0.09,0.03,0,0.18,0.03,0,0.03,0,0.05,0.07,0.03,0.01,0.02,0.01,0,0.16
2017-01,53.89,27.3,7.09,3.06,0.14,1.34,0.98,0.31,1.01,1.59,0.59,0.86,0.25,0.37,0.07,0.23,0.02,0.01,0.13,0,0.1,0.03,0,0.17,0.03,0,0.03,0,0.05,0.08,0.02,0.01,0.02,0.01,0,0.2
2017-02,54.01,27.14,7.08,3.11,0.13,1.26,0.86,0.28,1.04,1.65,0.62,0.89,0.24,0.36,0.07,0.25,0.02,0.01,0.13,0,0.1,0.04,0,0.18,0.02,0,0.03,0.01,0.04,0.1,0.02,0.01,0.03,0.01,0,0.24
2017-03,53.57,27.41,7.26,3.16,0.11,1.17,0.8,0.25,1.1,1.74,0.62,0.88,0.22,0.35,0.08,0.26,0.02,0.01,0.13,0,0.11,0.04,0,0.17,0.02,0,0.03,0.01,0.04,0.11,0.02,0.01,0.04,0.02,0,0.27
2017-04,53.88,26.87,7.33,3.08,0.11,1.1,0.87,0.23,1.15,1.76,0.66,0.88,0.24,0.34,0.11,0.28,0.02,0.01,0.15,0,0.11,0.05,0,0.16,0.02,0,0.03,0.01,0.04,0.11,0.02,0.01,0.04,0.02,0,0.3
2017-05,53.49,26.5,7.51,3.14,0.1,1.08,1.21,0.23,1.13,1.8,0.71,0.89,0.26,0.34,0.14,0.3,0.02,0.01,0.15,0,0.12,0.07,0,0.17,0.03,0,0.02,0.02,0.03,0.11,0.01,0.01,0.04,0.03,0,0.33
2017-06,53.07,27.21,7.73,3.18,0.08,1.05,0.78,0.2,1.08,1.91,0.69,0.91,0.25,0.35,0.12,0.27,0.02,0.01,0.14,0,0.12,0.06,0,0.17,0.02,0,0.02,0.01,0.03,0.12,0.01,0.01,0.03,0.02,0,0.31
2017-07,52.17,27.94,7.7,3.25,0.08,1.09,0.87,0.19,1.1,1.86,0.72,0.84,0.26,0.33,0.14,0.31,0.02,0.01,0.14,0,0.13,0.07,0,0.17,0.02,0,0.02,0.02,0.03,0.11,0.01,0.01,0.03,0.02,0,0.31
2017-08,54.12,26.55,7.47,3.05,0.08,1.24,0.89,0.17,1.04,1.84,0.69,0.77,0.25,0.31,0.15,0.28,0.01,0.01,0.13,0.03,0.13,0.08,0,0.16,0.01,0,0.02,0.02,0.03,0.1,0.01,0.01,0.03,0.02,0,0.3
2017-09,53.85,26.47,7.48,3.05,0.09,1.16,1.02,0.16,1.08,1.89,0.73,0.73,0.24,0.29,0.2,0.3,0.01,0.01,0.14,0.03,0.13,0.11,0,0.16,0.02,0,0.02,0.03,0.03,0.1,0.01,0.01,0.03,0.04,0,0.37
2017-10,54.96,25.66,7.03,3.18,0.08,0.93,1.13,0.15,1.15,1.85,0.75,0.69,0.25,0.28,0.25,0.31,0.01,0.01,0.17,0.01,0.14,0.14,0,0.16,0.03,0,0.02,0.05,0.03,0.1,0.01,0.01,0.04,0.05,0,0.39
2017-11,55.42,24.85,7.17,3.21,0.07,0.95,1.13,0.13,1.26,1.93,0.79,0.68,0.24,0.26,0.28,0.3,0.01,0.01,0.16,0.02,0.13,0.14,0,0.16,0.03,0,0.02,0.05,0.03,0.1,0.01,0.01,0.04,0.05,0,0.38
2017-12,54.42,25.29,7.41,3.27,0.05,0.9,1.09,0.13,1.57,1.97,0.77,0.66,0.25,0.25,0.32,0.44,0.01,0,0.11,0.02,0.13,0.12,0,0.15,0.02,0,0.01,0.07,0.02,0.09,0.01,0.01,0.03,0.05,0,0.36
2018-01,53.44,25.77,7.61,3.4,0.05,0.65,1.13,0.13,1.8,1.98,0.85,0.65,0.29,0.24,0.25,0.63,0.01,0,0.1,0,0.14,0.11,0,0.13,0.01,0,0.02,0.04,0.03,0.09,0.01,0.01,0.02,0.04,0,0.36
2018-02,54.02,25.51,7.49,3.47,0.05,0.61,1.18,0.11,1.69,2.01,0.85,0.62,0.26,0.23,0.28,0.56,0.01,0,0.08,0,0.13,0.12,0,0.13,0.01,0,0.01,0.05,0.02,0.08,0.01,0.01,0.03,0.04,0,0.32
2018-03,56.26,24.27,6.73,3.41,0.04,0.61,1.18,0.11,1.76,1.82,0.97,0.58,0.24,0.21,0.35,0.3,0.01,0,0.08,0.01,0.14,0.16,0,0.11,0.02,0,0.01,0.06,0.02,0.08,0,0.01,0.03,0.05,0,0.35
2018-04,53.6,25.48,7.21,3.54,0.04,0.56,1.31,0.14,1.82,2.15,1.05,0.68,0.25,0.21,0.43,0.27,0.01,0.01,0.09,0.06,0.14,0.16,0,0.12,0.02,0,0.01,0.07,0.02,0.08,0.01,0.01,0.02,0.04,0,0.38
2018-05,54.4,25.18,7.16,3.43,0.04,0.51,1.05,0.13,1.71,2.25,1.04,0.68,0.25,0.2,0.41,0.27,0.01,0.01,0.08,0.09,0.14,0.16,0,0.14,0.02,0,0.01,0.08,0.02,0.08,0.01,0.01,0.02,0.04,0,0.37
2018-06,53.6,25.59,7.31,3.61,0.04,0.49,1.02,0.13,1.73,2.29,1,0.82,0.24,0.2,0.38,0.27,0.01,0.01,0.07,0.1,0.13,0.16,0,0.14,0.02,0,0.01,0.08,0.02,0.07,0.01,0.01,0.02,0.03,0,0.39
2018-07,52.19,26.03,7.09,3.49,0.05,0.45,1.27,0.13,1.81,2.09,1.05,1.85,0.22,0.19,0.43,0.27,0.01,0.01,0.07,0.1,0.13,0.17,0,0.13,0.02,0,0.01,0.1,0.02,0.08,0,0.01,0.02,0.04,0,0.48
2018-08,53.13,25.35,7.03,3.36,0.05,0.41,1.25,0.12,1.89,2.1,0.92,2.04,0.2,0.18,0.4,0.21,0.01,0,0.17,0.09,0.12,0.14,0,0.14,0.01,0,0.01,0.09,0.02,0.07,0,0.01,0.02,0.03,0,0.41
2018-09,53.7,25.11,7.37,3.42,0.05,0.38,1.13,0.1,1.94,1.99,0.95,1.57,0.21,0.17,0.38,0.17,0.01,0,0.23,0.09,0.15,0.14,0,0.13,0.01,0,0.01,0.08,0.02,0.06,0.01,0.01,0.02,0.03,0.03,0.36
2018-10,56.08,23.22,7.02,3.53,0.05,0.37,1.18,0.1,1.94,1.66,0.9,1.65,0.2,0.16,0.46,0.17,0.01,0,0.2,0.08,0.13,0.15,0,0.12,0.01,0,0.01,0.09,0.02,0.05,0,0.01,0.02,0.03,0.04,0.33
2018-11,62.01,19.73,5.82,3.61,0.05,0.36,1.25,0.12,2.04,1.17,0.66,0.84,0.15,0.11,0.67,0.21,0.02,0,0.13,0.04,0.08,0.19,0,0.12,0.02,0,0.01,0.16,0.01,0.03,0,0,0.01,0.03,0.02,0.3
2018-12,56.91,24.76,5.86,3.75,0.04,0.32,1.12,0.13,2.23,1.08,0.77,0.26,0.13,0.09,0.94,0.23,0.01,0,0.22,0.03,0.09,0.3,0,0.12,0.03,0,0.01,0.22,0.01,0.02,0,0,0.02,0.04,0.02,0.25
2019-01,57.22,25.38,5.49,3.66,0.06,0.29,1.09,0.13,2.27,0.9,0.76,0.23,0.12,0.08,0.85,0.22,0.01,0,0.21,0.02,0.08,0.28,0,0.1,0.02,0,0.01,0.2,0.01,0.02,0,0,0.02,0.03,0.03,0.22
2019-02,57.33,25.14,5.51,3.72,0.06,0.28,1.2,0.14,2.36,0.82,0.75,0.22,0.12,0.07,0.86,0.21,0.01,0,0.21,0.02,0.08,0.27,0,0.09,0.02,0,0.01,0.22,0.01,0.02,0,0,0.02,0.03,0.03,0.2
2019-03,54.74,25.59,6.7,3.6,0.07,0.26,1.16,0.17,2.22,1.09,0.85,0.43,0.21,0.13,0.8,0.2,0.01,0,0.39,0.06,0.19,0.32,0,0.07,0.01,0,0.01,0.19,0.01,0.03,0,0,0.01,0.04,0.11,0.33
